Caso                   | Pág.  | Mención      | Antes Rótulo   | Img/Tab->Nota  | Nota->Texto    | Solap.
----------------------------------------------------------------------------------------------------
Figura 1               | 18    | Pág. 18      | 25.4 pt        | 330.8 pt       | 16.9 pt        | 0 (No)
Figura 2               | 20    | Pág. 19      | 16.9 pt        | 299.2 pt       | 16.9 pt        | 0 (No)
Figura 3               | 23    | Pág. 22      | 25.4 pt        | 325.7 pt       | 16.9 pt        | 0 (No)
Figura 4               | 32    | Pág. 31      | 25.4 pt        | 330.8 pt       | 16.9 pt        | 0 (No)
Figura 7               | 39    | Pág. 38      | 16.9 pt        | 330.8 pt       | 16.9 pt        | 0 (No)
Tabla 1                | 35    | Pág. 34      | 16.9 pt        | 151.5 pt       | 16.9 pt        | 0 (No)
Figura 21 (Cap. 4)     | 75    | Pág. 74      | 25.4 pt        | 246.0 pt       | 16.9 pt        | 0 (No)
Figura 40 (Cap. 4)     | 103   | Pág. 103     | 16.9 pt        | 250.3 pt       | 16.9 pt        | 0 (No)
Figura 61 (Cap. 4)     | 122   | Pág. 122     | 25.4 pt        | 330.8 pt       | 16.7 pt        | 0 (No)
Figura 74 (Cap. 5)     | 151   | Pág. 150     | 25.4 pt        | 278.6 pt       | 16.9 pt        | 0 (No)
Figura 75 (Cap. 5)     | 155   | Pág. 154     | 102.7 pt       | 300.6 pt       | 16.9 pt        | 0 (No)
Figura 76 (Cap. 5)     | 157   | Pág. 156     | 25.4 pt        | 250.1 pt       | 16.9 pt        | 0 (No)
Tabla D1 (Ap. D)       | 187   | Pág. 187     | 6.0 pt         | 61.3 pt        | 16.9 pt        | 0 (No)
Figura H1 (Ap. H)      | 189   | Pág. 189     | 25.4 pt        | 330.8 pt       | 16.3 pt        | 0 (No)
Tabla I1 (Ap. I)       | 191   | Pág. 190     | 25.4 pt        | 20.9 pt        | 16.9 pt        | 0 (No)
Tabla M1 (Ap. M)       | 194   | Pág. 194     | 16.8 pt        | 118.6 pt       | 16.9 pt        | 0 (No)
Tabla M2 (Ap. M)       | 194   | Pág. 194     | 17.4 pt        | 60.6 pt        | 16.9 pt        | 0 (No)
Tabla N1 (Ap. N)       | 196   | Pág. 195     | 25.4 pt        | 454.0 pt       | 16.9 pt        | 0 (No)
